Number of Generations,Best Fitness (Genetic Algorithm High Generation Count),Mean Fitness (Genetic Algorithm High Generation Count),Std Fitness (Genetic Algorithm High Generation Count),Execution Time (Genetic Algorithm High Generation Count),Best Fitness (Genetic Algorithm High Generation Count Bridge),Mean Fitness (Genetic Algorithm High Generation Count Bridge),Std Fitness (Genetic Algorithm High Generation Count Bridge),Execution Time (Genetic Algorithm High Generation Count Bridge)
0,1.1106617494320257,-0.026306266088630247,0.41861125399079624,6768.258715724945,0.8829263363248885,-0.04061075767721946,0.4033674703243359,7029.968084859848
1,1.487418523000146,0.16036065792300422,0.5372710213478232,6768.258715724945,1.3250357776332629,0.23938385180687857,0.5379888208933689,7029.968084859848
2,1.6894772144181283,0.2908780016901724,0.6251213758834842,6768.258715724945,1.4809317057296558,0.3765740945449877,0.6432758794042248,7029.968084859848
3,1.6894772144181283,0.5113335470644568,0.5795223003413097,6768.258715724945,2.159580346056301,0.6806290432266359,0.6802796410281164,7029.968084859848
4,1.9787220803742414,0.686212699531367,0.6540415326409411,6768.258715724945,2.1833065189199026,0.7490061096852852,0.830814174579454,7029.968084859848
5,2.2872971442250374,0.8876294731095422,0.8280121218193381,6768.258715724945,2.3133131389391832,1.0194054572130167,0.8135879716100576,7029.968084859848
6,2.34488181912132,1.1050148679094192,0.8029009927197259,6768.258715724945,2.3333431523400674,1.0213455003762975,0.8837334240081415,7029.968084859848
7,2.4101829546194558,1.2411357374978618,0.8969122502544102,6768.258715724945,2.5006116349900864,1.2076637375163326,0.8417324771928152,7029.968084859848
8,2.5697709538344236,0.9614396473204249,0.9864873977039462,6768.258715724945,2.5387864129687285,1.1797991646597352,0.9494403487961357,7029.968084859848
9,2.891780357414969,1.2777799741375186,1.0604570741385924,6768.258715724945,2.640635100978938,1.4058559978604896,0.9173078556156187,7029.968084859848
10,3.216554945906046,1.5635352910082343,1.0353532430902466,6768.258715724945,2.705446334722097,1.5001504319784214,0.969689173352594,7029.968084859848
11,3.3120086199829175,1.8637018778442154,0.9272524652532551,6768.258715724945,2.8205127096787113,1.7483690236801563,0.8645356981026964,7029.968084859848
12,3.387373299915157,1.8960914883111872,0.9833505978365953,6768.258715724945,2.898320385564701,1.559641076737377,1.085145973105139,7029.968084859848
13,3.4800832297497424,2.08845203237581,1.0690265939762529,6768.258715724945,3.1063408079906987,1.8598207752036024,1.0611490857319352,7029.968084859848
14,3.59869719199407,2.095278837700476,1.0830688261846038,6768.258715724945,3.1385636956966714,1.7740295822128054,1.0121550917174875,7029.968084859848
15,3.599151694852874,2.1206947150249973,1.0936476325523494,6768.258715724945,3.171927996552958,1.6488284855168953,1.0444101828249173,7029.968084859848
16,3.599151694852874,2.0624201080435114,1.1871322384180565,6768.258715724945,3.171927996552958,1.8329676473479648,1.0841649084724616,7029.968084859848
17,3.675666969017848,2.334354399857162,1.09842267917042,6768.258715724945,3.253963592280742,1.9138488484551832,1.0953544523681946,7029.968084859848
18,3.7187270807804325,2.30652421615614,1.1562355922654866,6768.258715724945,3.3007817552347567,1.9469800183541737,1.1387380234720446,7029.968084859848
19,3.7187270807804325,2.343641359805062,1.1851783064937491,6768.258715724945,3.376953837911499,1.9999889157491288,1.1390393783452473,7029.968084859848
20,3.7187270807804325,1.9717490552124946,1.3918352682537538,6768.258715724945,3.376953837911499,1.9545700665506214,1.2667582454162685,7029.968084859848
21,3.781821567602401,2.288651522520518,1.2447176875232484,6768.258715724945,3.391352409759964,1.8521597640877658,1.273029925224126,7029.968084859848
22,3.838410794929648,2.243299175109742,1.2162882904914571,6768.258715724945,3.6851810419184607,2.0084694387975657,1.2112465054947328,7029.968084859848
23,3.8627414001520024,2.566390700860856,1.1519211700919718,6768.258715724945,3.8341069497044122,2.060060126549831,1.2983206309321216,7029.968084859848
24,3.899222394865832,2.3461731410942335,1.267133352107909,6768.258715724945,3.8341069497044122,2.096146686512008,1.2579201467129641,7029.968084859848
25,3.9349699843402974,2.404369975037176,1.2052961796472161,6768.258715724945,3.85144886414144,2.1667078968789175,1.281498847201998,7029.968084859848
26,4.053298762379372,2.4443537161419924,1.2909814301149012,6768.258715724945,3.8627892741660146,2.1186598532707235,1.3998675796648319,7029.968084859848
27,4.153801885323434,2.382050249232194,1.3588890945898326,6768.258715724945,3.8683249872393484,2.0893950577317577,1.3236679545765055,7029.968084859848
28,4.2482790303301154,2.716052346590534,1.1619582671679651,6768.258715724945,3.908847949510726,2.012448666343597,1.354005434699428,7029.968084859848
29,4.364392061945599,2.6672496022443064,1.2434885537613192,6768.258715724945,4.025044563671214,2.332930768059151,1.3194964072984408,7029.968084859848
30,4.393471070030316,2.8097769504712935,1.3984297214750865,6768.258715724945,4.137379307853356,2.5518984759305354,1.2328151061482473,7029.968084859848
31,4.4227870970411844,2.7966203414296453,1.3428315789676186,6768.258715724945,4.286549332246816,2.3353061772652914,1.4494016917222925,7029.968084859848
32,4.438443828980394,2.7232341830336084,1.5079191594221943,6768.258715724945,4.509191958164591,2.440636673162757,1.5484328152673585,7029.968084859848
33,4.468350200259846,2.7021276040406463,1.480176767420924,6768.258715724945,4.523002557403303,2.600452583725059,1.4864373956726356,7029.968084859848
34,4.4832425765902055,2.9547274510488597,1.4728434384125006,6768.258715724945,4.601821236289412,2.3713906939431664,1.5229295677704384,7029.968084859848
35,4.510120514654186,3.155870127251488,1.3283981347018754,6768.258715724945,4.621869809611014,2.7625354626203156,1.5122830715251308,7029.968084859848
36,4.528436511628782,3.1663538372024083,1.3490759108897035,6768.258715724945,4.621869809611014,2.769821555292908,1.5106813217435229,7029.968084859848
37,4.7316983559110914,2.98620836907727,1.511344754114799,6768.258715724945,4.695580131127705,2.912051130906778,1.4750335944608581,7029.968084859848
38,4.763208475835497,2.937367885618575,1.4889667841093168,6768.258715724945,4.715430413564808,3.0265319644220963,1.520923862916349,7029.968084859848
39,4.880448498438336,3.2518001286599985,1.4222418765949825,6768.258715724945,4.715430413564808,2.895338292330581,1.5477613997264652,7029.968084859848
40,4.996926252922361,3.187966975175166,1.6067636629977062,6768.258715724945,4.754165195015174,2.849464131872281,1.5785776262020912,7029.968084859848
41,4.996926252922361,3.3607055070139253,1.5133895366246086,6768.258715724945,4.754165195015174,2.6817095986025055,1.762523945914364,7029.968084859848
42,5.048772616059797,3.198236542036869,1.5307439047525837,6768.258715724945,4.84255071725863,2.9019874440830455,1.6065631892328618,7029.968084859848
43,5.0813301143234835,3.28468954442192,1.6654156933137099,6768.258715724945,5.062987037182728,3.0319510526426297,1.4297065511440885,7029.968084859848
44,5.098365903947238,3.383182693789673,1.5181007471822805,6768.258715724945,5.088647270402915,3.2174210690067406,1.5453029940190197,7029.968084859848
45,5.22951603861736,3.311038111381783,1.7938090778051063,6768.258715724945,5.093602425682058,2.988938882558962,1.6889722580294364,7029.968084859848
46,5.23653829406891,3.592507599648877,1.7111578333020951,6768.258715724945,5.131457177651699,2.7442228562483217,1.7660787799011612,7029.968084859848
47,5.2774186449743095,3.4201109364532423,1.7421750071709756,6768.258715724945,5.138541377007932,2.9518683242599453,1.7857895495262244,7029.968084859848
48,5.2774186449743095,3.3158058747708927,1.8013194946824989,6768.258715724945,5.172389996398751,2.743675042159721,1.896744114093129,7029.968084859848
49,5.3249440128602235,3.5748329520195354,1.6867881572453371,6768.258715724945,5.172389996398751,3.0054128320431928,1.8740474971137844,7029.968084859848
50,5.347377020561021,3.7308603399578764,1.5367668151777696,6768.258715724945,5.172389996398751,2.9179401222539423,1.8848495139675117,7029.968084859848
51,5.347377020561021,3.66917872624145,1.5935242868353021,6768.258715724945,5.172389996398751,2.9873832898247437,1.7866896994182295,7029.968084859848
52,5.347377020561021,3.4762817081715354,1.771863676286781,6768.258715724945,5.1918929227845485,2.8945472066842437,1.7859790232483235,7029.968084859848
53,5.38034765988075,3.749266467080043,1.5304628176678183,6768.258715724945,5.279271325616608,2.996490740083952,1.6529089123189329,7029.968084859848
54,5.406213664336329,3.45578625083649,1.6687987928818977,6768.258715724945,5.279271325616608,3.048580090453733,1.7225828194548392,7029.968084859848
55,5.406213664336329,3.6258916728152726,1.602368537744437,6768.258715724945,5.309690461496044,3.0450051634301936,1.8645696681337298,7029.968084859848
56,5.424093468379959,3.678930664162116,1.7402618902832443,6768.258715724945,5.309690461496044,2.7269450220586307,1.871166685950347,7029.968084859848
57,5.481452673469098,3.495792674015437,1.6880724624801828,6768.258715724945,5.327444781926998,3.017277757090245,1.8368363869192195,7029.968084859848
58,5.482653520019148,3.5691925385891166,1.9035387496577627,6768.258715724945,5.364942576924036,3.0984119344328236,1.9521559073220538,7029.968084859848
59,5.487278081943999,3.511019920923824,1.8662699050573586,6768.258715724945,5.3748414017071795,3.1185269908555378,1.8273523142606123,7029.968084859848
60,5.487278081943999,3.3117506011277045,2.08191712142686,6768.258715724945,5.3748414017071795,2.9851333043033024,2.0135975420356753,7029.968084859848
61,5.487278081943999,3.4921557079088417,1.9989309832729738,6768.258715724945,5.3748414017071795,3.071314127290815,1.9330119331869415,7029.968084859848
62,5.487278081943999,3.599786541758988,1.8062626157679176,6768.258715724945,5.3748414017071795,2.995875378620496,1.83868053748068,7029.968084859848
63,5.487278081943999,3.7408615040996103,1.7763580633569156,6768.258715724945,5.4262864404021895,3.2921885793573233,1.803235514153899,7029.968084859848
64,5.507927880613325,3.5522258689621524,1.9799220644432929,6768.258715724945,5.46060240554156,2.9483668032484167,1.9953553879223123,7029.968084859848
65,5.507927880613325,3.462760847596313,1.8473518707462724,6768.258715724945,5.460958804464399,3.2219085496862854,1.6314716531113511,7029.968084859848
66,5.654799310738621,3.779799215121688,1.7169890886442407,6768.258715724945,5.482612442952311,3.4021885397171006,1.8686597218116012,7029.968084859848
67,5.654799310738621,3.619100587925201,1.7408249803526874,6768.258715724945,5.482612442952311,3.440158788344415,1.8272769085376148,7029.968084859848
68,5.664420699383763,3.7619409750025206,1.6975234285655483,6768.258715724945,5.482612442952311,3.088932637296653,1.8136929518360325,7029.968084859848
69,5.747145498009303,3.8138726963140286,1.8371496982786588,6768.258715724945,5.50441756687071,3.480957426479338,1.7477039917288735,7029.968084859848
70,5.747145498009303,3.746681614073219,1.9255124601664684,6768.258715724945,5.50441756687071,3.0642435828652657,1.808003239421938,7029.968084859848
71,5.747145498009303,3.375287153844007,2.0180518370752423,6768.258715724945,5.505756272725933,3.2413452285249194,1.856502993542854,7029.968084859848
72,5.747145498009303,3.721916741611291,1.8202774620404365,6768.258715724945,5.551348998441269,3.2111745606596562,1.8734695239785757,7029.968084859848
73,5.747145498009303,3.7054023587191316,2.0676315556796383,6768.258715724945,5.551348998441269,3.1455595596742287,1.8400820689645347,7029.968084859848
74,5.747145498009303,3.572886321728171,2.034341491696717,6768.258715724945,5.551348998441269,3.263125398205426,1.8659672753722265,7029.968084859848
75,5.747403071243236,3.9528528732424113,1.880200634631948,6768.258715724945,5.55762695655636,3.1546147208161583,1.8815416716994704,7029.968084859848
76,5.747403071243236,3.656121125027961,2.048139585021958,6768.258715724945,5.55762695655636,3.29989951126874,1.8835693337236026,7029.968084859848
77,5.747403071243236,3.852811422233779,1.9888133725749917,6768.258715724945,5.55762695655636,3.251323412617064,2.0012914393210752,7029.968084859848
78,5.747403071243236,3.719454208120093,1.8531237455712162,6768.258715724945,5.55762695655636,3.431960419368635,1.8151759253717514,7029.968084859848
79,5.747403071243236,3.9242376891387445,1.8137698188287399,6768.258715724945,5.578686985982465,3.336104733184686,1.9165279806043003,7029.968084859848
80,5.747403071243236,3.7707832930971947,1.8808686406641655,6768.258715724945,5.578686985982465,3.3720471708134765,1.8891301752673157,7029.968084859848
81,5.747403071243236,3.534758949928631,2.0308251881414665,6768.258715724945,5.5803754664523355,3.7345684165306388,1.828380098697624,7029.968084859848
82,5.748435247462768,3.5352176106997364,1.9847330663036746,6768.258715724945,5.590625301800953,3.748585601382314,1.7106015289465937,7029.968084859848
83,5.748435247462768,3.5737771105441154,2.0513347998094926,6768.258715724945,5.595249908903011,3.3346121366856836,1.8854971444989428,7029.968084859848
84,5.748435247462768,3.5818618696573568,1.9393030685141213,6768.258715724945,5.602494717926405,3.5974239496910903,1.7941029527834602,7029.968084859848
85,5.76450140523197,3.5600315172617827,1.9934817552519177,6768.258715724945,5.623078608021904,3.456630746593966,1.740042803935096,7029.968084859848
86,5.76450140523197,3.9610037840146632,1.8012187784335958,6768.258715724945,5.665146368291369,3.1375917442035304,2.110353491191161,7029.968084859848
87,5.76450140523197,3.672195530809396,1.9869439766263128,6768.258715724945,5.690981985141485,3.2336703664424293,1.9612345812139058,7029.968084859848
88,5.787565285858642,3.650862453722823,1.9653495016468434,6768.258715724945,5.690981985141485,3.5108247681869442,1.960549620928111,7029.968084859848
89,5.894505134612226,3.7243555444737892,2.1311165082347125,6768.258715724945,5.690981985141485,3.484821279672461,2.0851313156985194,7029.968084859848
90,5.894505134612226,3.7471056142344508,1.9064274042302916,6768.258715724945,5.690981985141485,3.3534155905523364,1.9376197828042911,7029.968084859848
91,5.894505134612226,3.4649296092775708,1.9651557459225615,6768.258715724945,5.690981985141485,3.311085717637398,1.9887897605773905,7029.968084859848
92,5.894505134612226,3.745773696761675,2.0226564049820652,6768.258715724945,5.690981985141485,3.2983648328704005,1.9670960845530487,7029.968084859848
93,5.894505134612226,3.7635000339666314,2.18524429807714,6768.258715724945,5.707563983568885,3.4935560982872373,2.0012418045920617,7029.968084859848
94,5.8989273181661,3.8320404476141574,1.8826219730806233,6768.258715724945,5.707563983568885,3.655984717955525,1.789515064022119,7029.968084859848
95,5.919070145772354,3.8527819260735994,2.0440321288772934,6768.258715724945,5.73033542231468,3.5228446881273925,2.034191516345068,7029.968084859848
96,5.9209860971576145,4.008846747069963,1.8611046058572167,6768.258715724945,5.73033542231468,3.491657015341203,1.8474503930887405,7029.968084859848
97,5.9209860971576145,3.759110746809219,1.9546079961385545,6768.258715724945,5.731134159357989,3.3090205388999343,1.9234387545140887,7029.968084859848
